number,title,date,winner,main_challenge,season
1,"Drag on a Dime",2009-02-0,Nina Flowers,"Making an outfit out of thrift store clothes",1
2,"Girl Group Challenge",2009-02-0,Ongina,"Destiny's Child girl group battle",1
3,"Queens of All Media",2009-02-1,BeBe Zahara Benet,"Channeling Oprah in three stages of her career: A mock interview, selling products, and interview 2 people",1
4,"Mac Viva-Glam Challenge",2009-02-2,Ongina,"Mac-Viva Glam commercial",1
5,"Drag School of Charm",2009-03-0,Rebecca Glasscock,"Transforming a female fighter in their own image",1
6,"Absolut Drag Ball",2009-03-0,BeBe Zahara Benet,"Drag Ball featuring three different looks - swimsuit, executive realness, and evening wear",1
7,"Extra Special Edition",2009-03-1,None,None,1
8,"Grand Finale",2009-03-2,None,"Recording a verse and filming a spot for RuPaul's latest video Cover Girl (Put the Bass in Your Walk)",1
9,"Re-United!",2009-03-2,None,None,1
1,"Gone with the Window",2010-02-0,Morgan McMichaels,"Outfits made from curtains and home furnishings",2
2,"Starrbootylicious",2010-02-0,Sahara Davenport,"Teams compete to earn more cash performing burlesque and selling gift certificates",2
3,"Country Queens",2010-02-1,Tyra Sanchez,"Teams compete as feuding families in a TV Commercial for Disco Shortening in Country",2
4,"The Snatch Game",2010-02-2,Tatianna,"Celebrity impersonations in a Match Game setting",2
5,"Here Comes the Bride",2010-03-0,Tyra Sanchez,"Dress up as the bride and groom in a wedding photo shoot",2
6,"Rocker Chicks",2010-03-0,Jessica Wild,"Live rock performance of Lady Boy by RuPaul",2
7,"Once Upon a Queen",2010-03-2,Raven,"Come up with and promote a concept for an autobiography",2
8,"Golden Gals",2010-03-2,Raven,"Transform older men into drag mothers and perform a lip synch duet with them",2
9,"The Diva Awards",2010-04-1,Tyra Sanchez,"Create three different looks for Diva Award ceremonies (Teen Diva, Diva D.C. Press, and Diva Hollywood Extravaganza) and perform a group opening number",2
10,"The Main Event Clip Show",2010-04-1,None,None,2
11,"Grand Finale",2010-04-2,None,"Shooting a music video for Jealous Of My Boogie (Gomi and RasJek Edit) and acting in a scripted scene with RuPaul inspired by Dynasty",2
12,"Reunion",2010-04-2,None,None,2
1,"Casting Extravaganza",2011-01-2,None,None,3
2,"The Queen Who Mopped Xmas",2011-01-2,Raja,"Holiday Thrift Store Drag",3
3,"Queens in Space",2011-01-3,Alexis Mateo and Shangela,"Sci-Fi movie spoofs",3
4,"Totally Leotarded",2011-02-0,Alexis Mateo,"Produce a fitness video with workout expert Susan Powter",3
5,"QNN News",2011-02-1,Manila Luzon,"Produce a morning news show",3
6,"The Snatch Game",2011-02-2,Stacy Layne Matthews,"Celebrity impersonations in a Match Game-style setting",3
7,"Face, Face, Face of Cakes",2011-02-2,Raja,"Create a fashion style inspired by a bakery cake",3
8,"Ru Ha Ha",2011-03-0,Shangela,"Perform a stand-up routine in front of a live audience",3
9,"Life, Liberty & the Pursuit of Style",2011-03-1,Alexis Mateo,"Film a patriotic message addressed to US military personnel overseas",3
10,"RuPaul-a-Palooza",2011-03-2,Raja,"Record a single and perform it before a live audience",3
11,"RuPaul's Hair Extravaganza",2011-03-2,Yara Sofia,"Design three outfits for a hair show, a classic look from another era, a modern red carpet look, and a fantasy hair outfit, made entirely out of wigs",3
12,"Jocks in Frocks",2011-04-0,Manila Luzon,"Dress heterosexual athletes in drag",3
13,"Make Dat Money",2011-04-1,Manila Luzon,"Design three outfits for the money ball, Swimsuit Body Beautiful, Cocktail Attire After 5 and Evening Gown Eleganza, made entirely out of money",3
14,"RuPaul Rewind",2011-04-1,None,None,3
15,"Grand Finale",2011-04-2,None,"Participate in the filming of the music video for RuPaul's song Champion",3
16,"Reunited!",2011-05-0,None,None,3
1,"RuPocalypse Now!",2012-01-3,Sharon Needles,"The queens design a post-apocalyptic couture outfit from items looted from drag queen zombies",4
2,"WTF!: Wrestling's Trashiest Fighters",2012-02-0,Chad Michaels and Madame LaQueer,"Create a wrestling storyline, with backstage clip and entertaining match in the ring",4
3,"Glamazons vs. Champions",2012-02-1,Sharon Needles,"Produce and act in TV infomercials for RuPaul's Glamazon and Champion.",4
4,"Queens Behind Bars",2012-02-2,Latrice Royale,"In two teams, star in two different episodes of a sitcom.",4
5,"Snatch Game",2012-02-2,Chad Michaels,"Celebrity impersonations in a Match Game-style setting (Snatch Game)",4
